provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,rate_of_mortality,rate_of_complication,patient_experience,medicare_coverage,rank_value,abs_rank_value
490060,CLINCH VALLEY MEDICAL CENTER,2949 WEST FRONT STREET,RICHLANDS,VA,24641,TAZEWELL,2765966000,Acute Care Hospitals,Proprietary,Yes,0.883,0.8994,0.6456,0.7105,0.7846,0.7846
450604,HILL COUNTRY MEMORIAL HOSPITAL INC,1020 SOUTH STATE HIGHWAY 16,FREDERICKSBURG,TX,78624,GILLESPIE,8309974353,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8777,0.9307,0.75,0.5782,0.7841,0.7842
180044,PIKEVILLE MEDICAL CENTER,911 BYPASS ROAD,PIKEVILLE,KY,41501,PIKE,6062183500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8793,0.9499,0.7111,0.5958,0.784,0.7840
340158,NOVANT HEALTH BRUNSWICK MEDICAL CENTER,1 MEDICAL CENTER DR  PO BOX 139,SUPPLY,NC,28462,BRUNSWICK,9107558121,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8733,0.9248,0.6611,0.6761,0.7839,0.7838
180027,MURRAY-CALLOWAY COUNTY HOSPITAL,803 POPLAR STREET,MURRAY,KY,42071,CALLOWAY,2707621100,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8597,0.9095,0.6867,0.6769,0.7832,0.7832
240214,MAPLE GROVE HOSPITAL,9875 HOSPITAL DRIVE,MAPLE GROVE,MN,55369,HENNEPIN,7635811000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8825,0.9183,0.68,0.6517,0.7831,0.7831
330079,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,SARANAC LAKE,NY,12983,FRANKLIN,5188914141,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8673,0.8921,0.7222,0.6485,0.7826,0.7825
240104,ST FRANCIS REGIONAL MEDICAL CENTER,1455 ST FRANCIS AVENUE,SHAKOPEE,MN,55379,SCOTT,9524033000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8925,0.8686,0.7,0.6685,0.7824,0.7824
370149,ST ANTHONY SHAWNEE HOSPITAL,1102 W MACARTHUR,SHAWNEE,OK,74804,POTTAWATOMIE,4052732270,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.864,0.8743,0.7156,0.6741,0.782,0.7820
220090,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,1757,WORCESTER,5084731190,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8893,0.9644,0.6556,0.6182,0.7818,0.7819
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Acute Care Hospitals,Proprietary,Yes,0.8703,0.852,0.6878,0.7149,0.7813,0.7813
520021,UNITED HOSPITAL SYSTEM,6308 EIGHTH AVE,KENOSHA,WI,53143,KENOSHA,2626562011,Acute Care Hospitals,Government - Local,Yes,0.8777,0.9577,0.6567,0.6329,0.7812,0.7813
360197,MARY RUTAN HOSPITAL,205 PALMER AVENUE,BELLEFONTAINE,OH,43311,LOGAN,9375924015,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8767,0.9124,0.6878,0.6477,0.7812,0.7812
160069,MERCY MEDICAL CENTER-DUBUQUE,250 MERCY DRIVE,DUBUQUE,IA,52001,DUBUQUE,5635898000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8847,0.9048,0.6833,0.6509,0.7809,0.7809
520088,ST AGNES HOSPITAL,430 E DIVISON ST,FOND DU LAC,WI,54935,FOND DU LAC,9209292300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8763,0.9573,0.6778,0.6094,0.7802,0.7802
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,1100 EAST NORRIS DRIVE,OTTAWA,IL,61350,LA SALLE,8154333100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8607,0.8909,0.7,0.6685,0.78,0.7800
450669,MEDICAL CENTER OF LEWISVILLE,500 WEST MAIN STREET,LEWISVILLE,TX,75057,DENTON,9724201000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8827,0.9678,0.6567,0.6126,0.7799,0.7800
180056,METHODIST HOSPITAL,1305 N ELM ST,HENDERSON,KY,42420,HENDERSON,2708277700,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8797,0.942,0.6578,0.6401,0.7799,0.7799
520035,AURORA SHEBOYGAN MEMORIAL MEDICAL CTR,2629 N 7TH ST,SHEBOYGAN,WI,53083,SHEBOYGAN,9204515000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.862,0.9171,0.7011,0.6393,0.7799,0.7799
520097,ST MARYS HOSPITAL MEDICAL CTR,1726 SHAWANO AVE,GREEN BAY,WI,54303,BROWN,9204984200,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.868,0.9183,0.6933,0.6397,0.7798,0.7798
390198,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH STREET,ERIE,PA,16509,ERIE,8148644031,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.879,0.9127,0.6178,0.7081,0.7794,0.7794
370023,"DUNCAN REGIONAL HOSPITAL, INC",1407 WHISENANT DRIVE,DUNCAN,OK,73533,STEPHENS,5802525300,Acute Care Hospitals,Proprietary,Yes,0.8695,0.9065,0.6989,0.6425,0.7794,0.7794
490053,JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,24211,WASHINGTON,2762581000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8723,0.942,0.6444,0.6585,0.7793,0.7793
670085,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,10864 TEXAS HEALTH TRAIL,FORT WORTH,TX,76244,TARRANT,6822122004,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8915,0.9067,0.6844,0.6325,0.7788,0.7788
50590,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,9164236010,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8643,0.9795,0.6411,0.6289,0.7785,0.7785
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA SUSITNA,9078616000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8593,0.9082,0.6289,0.7169,0.7783,0.7783
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8857,0.9265,0.6656,0.6333,0.7778,0.7778
100315,VIERA HOSPITAL,8745 N WICKHAM RD,MELBOURNE,FL,32940,BREVARD,3214349000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8793,0.9032,0.7156,0.6126,0.7777,0.7777
520208,ST MARYS JANESVILLE HOSPITAL,3400 EAST RACINE STREET,JANESVILLE,WI,53546,ROCK,6083738000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8995,0.8923,0.6911,0.6261,0.7773,0.7773
110122,SOUTH GEORGIA MEDICAL CENTER,"2501 NORTH PATTERSON STREET, PO BOX 1727",VALDOSTA,GA,31603,LOWNDES,2293331020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8557,0.9551,0.6722,0.625,0.777,0.7770
250009,MAGNOLIA REGIONAL HEALTH CENTER,611 ALCORN DRIVE,CORINTH,MS,38834,ALCORN,6622931000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8693,0.9065,0.7144,0.6174,0.7769,0.7769
370234,OKLAHOMA HEART HOSPITAL SOUTH,5200 EAST I-240 SERVICE ROAD,OKLAHOMA CITY,OK,73135,OKLAHOMA,4056286000,Acute Care Hospitals,Physician,Yes,0.88,0.8921,0.7556,0.5798,0.7769,0.7769
440184,FRANKLIN WOODS COMMUNITY HOSPITAL,300 MED TECH PARKWAY,JOHNSON CITY,TN,37604,WASHINGTON,4233021120,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.904,0.8151,0.6944,0.6893,0.7757,0.7757
100230,MEMORIAL HOSPITAL PEMBROKE,7800 SHERIDAN ST,PEMBROKE PINES,FL,33024,BROWARD,9549629650,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8807,0.9084,0.68,0.6329,0.7755,0.7755
110044,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,SUMTER,2299311280,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.863,0.9185,0.6689,0.6513,0.7754,0.7754
110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC",1900 TEBEAU STREET,WAYCROSS,GA,31501,WARE,9122872500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8757,0.9229,0.6778,0.6246,0.7752,0.7753
390114,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,300 HALKET STREET,PITTSBURGH,PA,15213,ALLEGHENY,4126414010,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8955,0.9397,0.6322,0.6333,0.7752,0.7752
160029,MERCY HOSPITAL,500 E MARKET STREET,IOWA CITY,IA,52245,JOHNSON,3193390300,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8813,0.8803,0.6956,0.6429,0.775,0.7750
230222,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4000 WELLNESS DRIVE,MIDLAND,MI,48670,MIDLAND,9898393000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.877,0.9617,0.6644,0.597,0.775,0.7750
120019,KONA COMMUNITY HOSPITAL,79-1019 HAUKAPILA STREET,KEALAKEKUA,HI,96750,HAWAII,8083229311,Acute Care Hospitals,Government - State,Yes,0.8925,0.8822,0.5856,0.7397,0.775,0.7750
520019,MINISTRY SAINT MARYS HOSPITAL,2251 NORTH SHORE DR,RHINELANDER,WI,54501,ONEIDA,7153612000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.869,0.9042,0.6678,0.6589,0.775,0.7750
390184,HIGHLANDS HOSPITAL,401 EAST MURPHY AVENUE,CONNELLSVILLE,PA,15425,FAYETTE,7246281500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.898,0.8656,0.6367,0.6993,0.7749,0.7749
120006,CASTLE MEDICAL CENTER,640 ULUKAHIKI ST,KAILUA,HI,96734,HONOLULU,8082635500,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.873,0.9113,0.6878,0.6269,0.7748,0.7748
440084,SWEETWATER HOSPITAL ASSOCIATION,304 WRIGHT ST,SWEETWATER,TN,37874,MONROE,8652138200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.877,0.905,0.6733,0.6429,0.7746,0.7746
500021,ST CLARE HOSPITAL,11315 BRIDGEPORT WAY S W,LAKEWOOD,WA,98499,PIERCE,2535881711,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8787,0.9399,0.61,0.6693,0.7745,0.7745
150034,ST MARY MEDICAL CENTER INC,1500 S LAKE PARK AVE,HOBART,IN,46342,LAKE,2199420551,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.89,0.9516,0.6733,0.581,0.774,0.7740
190167,MERCY REGIONAL MEDICAL CENTER,800 E MAIN,VILLE PLATTE,LA,70586,EVANGELINE,3373635684,Acute Care Hospitals,Proprietary,Yes,0.8883,0.9217,0.6767,0.609,0.7739,0.7739
520091,HOWARD YOUNG MEDICAL CTR,240 MAPLE ST,WOODRUFF,WI,54568,ONEIDA,7153568000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8807,0.8833,0.6756,0.6533,0.7732,0.7732
490042,CARILION NEW RIVER VALLEY MEDICAL CENTER,2900 LAMB CIRCLE,CHRISTIANSBURG,VA,24073,MONTGOMERY,5407312000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8687,0.9423,0.6567,0.625,0.7732,0.7732
390179,CHESTER COUNTY HOSPITAL,701 EAST MARSHALL STREET,WEST CHESTER,PA,19380,CHESTER,6104315000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8913,0.9241,0.6911,0.585,0.7729,0.7729
190013,WEST CALCASIEU CAMERON HOSPITAL,701 EAST CYPRESS STREET,SULPHUR,LA,70663,CALCASIEU,3375277034,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8857,0.8994,0.6967,0.6094,0.7728,0.7728
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,Yes,0.881,0.8918,0.6378,0.6805,0.7728,0.7728
50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,8183641555,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8885,0.8958,0.5767,0.7293,0.7726,0.7726
510006,UNITED HOSPITAL CENTER,327 MEDICAL PARK DRIVE,BRIDGEPORT,WV,26330,HARRISON,6813421000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,0.9172,0.6511,0.6417,0.7725,0.7725
360210,GRADY MEMORIAL HOSPITAL,561 WEST CENTRAL AVENUE,DELAWARE,OH,43015,DELAWARE,7403685145,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8855,0.8706,0.7089,0.625,0.7725,0.7725
520189,AURORA MEDICAL CTR KENOSHA,10400 75TH ST,KENOSHA,WI,53142,KENOSHA,2629485600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.878,0.9225,0.6711,0.6182,0.7724,0.7725
440185,TENNOVA HEALTHCARE-CLEVELAND,2305 CHAMBLISS AVE NW,CLEVELAND,TN,37311,BRADLEY,4233394132,Acute Care Hospitals,Proprietary,Yes,0.869,0.9436,0.6422,0.6349,0.7724,0.7724
60003,LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVENUE,LONGMONT,CO,80501,BOULDER,3036515111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8793,0.9334,0.6511,0.6257,0.7724,0.7724
260193,ST MARY'S MEDICAL CENTER,201 NW R D MIZE RD,BLUE SPRINGS,MO,64014,JACKSON,8162285900,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8647,0.9322,0.6633,0.6293,0.7724,0.7724
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,BELLE GLADE,FL,33430,PALM BEACH,5619966571,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8853,0.8504,0.6633,0.6893,0.7721,0.7721
370006,ALLIANCEHEALTH PONCA CITY,1900 NORTH 14TH STREET,PONCA CITY,OK,74601,KAY,5807653301,Acute Care Hospitals,Proprietary,Yes,0.8657,0.887,0.6611,0.6745,0.7721,0.7721
260078,OZARKS MEDICAL CENTER,1100 KENTUCKY AVE,WEST PLAINS,MO,65775,HOWELL,4172569111,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8443,0.9282,0.6656,0.6501,0.7721,0.7721
340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE ST,SANFORD,NC,27330,LEE,9197742100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8727,0.9014,0.6467,0.6673,0.772,0.7720
420098,WACCAMAW COMMUNITY HOSPITAL,4070 HIGHWAY 17 BYPASS,MURRELLS INLET,SC,29576,GEORGETOWN,8436521000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8763,0.8958,0.6756,0.6393,0.7718,0.7718
260179,ST LUKES HOSPITAL,232 S WOODS MILL RD,CHESTERFIELD,MO,63017,SAINT LOUIS,3144341500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.9003,0.9344,0.6767,0.5754,0.7717,0.7717
140043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,WHITESIDE,8156250400,Acute Care Hospitals,Government - Local,Yes,0.8767,0.8891,0.6689,0.6509,0.7714,0.7714
150150,DUPONT HOSPITAL LLC,2520 E DUPONT RD,FORT WAYNE,IN,46825,ALLEN,2604163000,Acute Care Hospitals,Proprietary,Yes,0.883,0.9058,0.6511,0.6453,0.7713,0.7713
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8895,0.8495,0.6833,0.6629,0.7713,0.7713
180036,OUR LADY OF BELLEFONTE HOSPITAL,1000 SAINT CHRISTOPHER DRIVE,ASHLAND,KY,41101,BOYD,6068333600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8803,0.8978,0.6778,0.6285,0.7711,0.7711
110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,UPSON,7066478111,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.851,0.8681,0.7222,0.6429,0.7711,0.7711
460007,VALLEY VIEW MEDICAL CENTER,1303 NORTH MAIN STREET,CEDAR CITY,UT,84721,IRON,4358685800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8715,0.8803,0.6778,0.6545,0.771,0.7710
40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,5017766000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.865,0.9466,0.6411,0.6293,0.7705,0.7705
100122,NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,CRESTVIEW,FL,32539,OKALOOSA,8506898100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8797,0.9165,0.6333,0.6521,0.7704,0.7704
30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,MARICOPA,6233274000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8817,0.9341,0.6611,0.6046,0.7704,0.7704
240056,RIDGEVIEW MEDICAL CENTER,500 SOUTH MAPLE STREET,WACONIA,MN,55387,CARVER,9524422191,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8763,0.8927,0.6944,0.6178,0.7703,0.7703
420055,CAROLINAS HOSPITAL SYSTEM MARION,2829 E HWY 76,MULLINS,SC,29574,MARION,8434312000,Acute Care Hospitals,Proprietary,Yes,0.8627,0.8585,0.6667,0.6933,0.7703,0.7703
50309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8843,0.9309,0.6533,0.6126,0.7703,0.7703
380037,PROVIDENCE NEWBERG MEDICAL CENTER,1001 PROVIDENCE DRIVE,NEWBERG,OR,97132,YAMHILL,5035371555,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8725,0.881,0.6578,0.6697,0.7702,0.7703
490037,RIVERSIDE SHORE MEMORIAL HOSPITAL,9507 HOSPITAL AVENUE,NASSAWADOX,VA,23413,NORTHAMPTON,7574148000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8793,0.9039,0.6533,0.6425,0.7698,0.7698
330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,2124237554,Acute Care Hospitals,Government - Local,Yes,0.8887,0.9334,0.5411,0.7153,0.7696,0.7696
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8797,0.8302,0.7111,0.6569,0.7695,0.7695
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8613,0.9313,0.6722,0.613,0.7695,0.7695
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,0.865,0.8692,0.6578,0.6857,0.7694,0.7694
160079,MERCY MEDICAL CENTER - CEDAR RAPIDS,701 10TH STREET SE,CEDAR RAPIDS,IA,52403,LINN,3193986011,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8807,0.924,0.6444,0.6277,0.7692,0.7692
100142,JACKSON HOSPITAL,4250 HOSPITAL DR,MARIANNA,FL,32446,JACKSON,8507182620,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8777,0.883,0.67,0.6457,0.7691,0.7691
520013,SACRED HEART HOSPITAL,900 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,EAU CLAIRE,7157174121,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.869,0.9493,0.6722,0.5858,0.7691,0.7691
410001,MEMORIAL HOSPITAL OF RHODE ISLAND,111 BREWSTER STREET,PAWTUCKET,RI,2860,PROVIDENCE,4017292000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8797,0.9377,0.6578,0.601,0.769,0.7691
340087,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE P O BOX 730,MARION,NC,28752,MCDOWELL,8286595000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8667,0.8602,0.6822,0.6669,0.769,0.7690
60010,POUDRE VALLEY HOSPITAL,1024 S LEMAY AVE,FORT COLLINS,CO,80524,LARIMER,9704957000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.874,0.9381,0.6656,0.5982,0.7689,0.7690
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8743,0.8799,0.6711,0.6505,0.769,0.7690
470005,RUTLAND REGIONAL MEDICAL CENTER,160 ALLEN ST,RUTLAND,VT,5701,RUTLAND,8027757111,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8753,0.8917,0.6756,0.6329,0.7689,0.7689
510008,BERKELEY MEDICAL CENTER,2500 HOSPITAL DRIVE,MARTINSBURG,WV,25401,BERKELEY,3042641000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8537,0.9541,0.6322,0.6353,0.7688,0.7688
270003,ST PETER'S HOSPITAL,2475 BROADWAY,HELENA,MT,59601,LEWIS AND CLARK,4064422480,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8593,0.8816,0.6744,0.6597,0.7688,0.7688
220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,2130,SUFFOLK,6179837000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8917,0.8747,0.6744,0.6337,0.7686,0.7686
450801,CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DR,TEXARKANA,TX,75504,BOWIE,9036141000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8833,0.9558,0.6811,0.5534,0.7684,0.7684
440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,ANDERSON,8658351000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8687,0.9634,0.6689,0.5718,0.7682,0.7682
300011,ST JOSEPH HOSPITAL,172 KINSLEY ST,NASHUA,NH,3060,HILLSBOROUGH,6038823000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.889,0.916,0.6744,0.5922,0.7679,0.7679
110069,HOUSTON MEDICAL CENTER,1601 WATSON BOULEVARD,WARNER ROBINS,GA,31093,HOUSTON,4789224281,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8993,0.8938,0.6567,0.6218,0.7679,0.7679
520204,WHEATON FRANCISCAN HEALTHCARE FRANKLIN,10101 SOUTH 27TH ST,FRANKLIN,WI,53132,MILWAUKEE,4143254500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8865,0.8774,0.6833,0.6242,0.7678,0.7679
440029,WILLIAMSON MEDICAL CENTER,4321 CAROTHERS PARKWAY,FRANKLIN,TN,37067,WILLIAMSON,6154355000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8673,0.9337,0.6889,0.5814,0.7678,0.7678
670080,SETON MEDICAL CENTER HARKER HEIGHTS,850 W CENTRAL TEXAS EXPRESSWAY,HARKER HEIGHTS,TX,76548,BELL,2549538342,Acute Care Hospitals,Proprietary,Yes,0.8853,0.8492,0.6967,0.6397,0.7677,0.7677
